album_id,title,year,artist
1001,When In Rome (self titled),1988,When In Rome
1002,After the Snow,1982,Modern English
1003,Songs From The Big Chair,1985,Tears For Fears
1004,Rio,1982,Duran Duran
1005,Once Upon A Time,1985,Simple Minds
1006,Black Celebration,1986,Depeche Mode
1007,Brotherhood,1986,New Order
1008,Shuttered Room,1982,The Fixx
1009,Hunting High And Low,1985,A-Ha
